3000
53383; 26381; 11631; 8860958190481549242
5475; 72918; 85808; 5831942445205986289
38057; 24898; 17032; 8849776861338828542
75146; 40299; 49148; 1793081132639073865
6921; 59495; 54125; 7939293463627147726
40695; 9924; 9580; 5758001664587674271
50492; 75884; 56688; 5025071904195526963
17623; 70297; 34676; 494197200191229036
21002; 6113; 188; 5015078866890455048
79535; 10837; 83654; 5811625983060223834
65926; 4917; 37412; 6847673242148691007
69566; 77665; 11752; 4512229257931274849
36058; 56856; 86017; 7867019385965060870
27177; 7091; 65653; 8139724548155085768
72876; 69579; 69409; 6660135755801498805
27226; 85053; 42920; 7593152265051077757
44146; 34885; 24407; 3712725273748892152
69378; 53673; 14791; 6309646213994142448
18865; 12140; 40944; 7450085852491571227
2806; 21144; 77432; 8012927760801048890
5177; 31441; 75283; 6747978104280149519
57567; 62634; 15197; 9102464888754108075
69107; 58079; 22702; 3470083906147115049
82600; 22985; 41460; 5617726794126078346
76276; 91965; 7647; 6724450497424779311
45437; 49789; 83264; 1177925071958260902
37236; 22919; 61447; 3321640323344959160
25930; 29160; 90088; 3624135988467781311
45890; 75879; 78685; 663343094705779076
84614; 80718; 15679; 3610697570701437106
42556; 41639; 34348; 8851327772416009633
35775; 66064; 274; 5862457803028956424
9111; 40013; 35943; 7620002585081818628
21005; 81310; 23076; 5325688711925743904
18804; 46814; 70353; 910557002530997321
75008; 49922; 67646; 999844329328008367
39872; 65286; 14557; 8407022540026512149
23638; 75922; 48444; 5159883902705452749
10042; 69766; 65117; 1873638051285935052
38256; 50628; 29893; 2576334056070778964
20647; 19929; 84084; 2384131783325129613
39813; 14278; 55487; 3122111931937218403
12224; 16234; 69158; 3203555870447113924
86697; 84042; 44276; 6025446448523743128
12591; 63241; 12754; 1261417914562321533
82533; 6808; 6455; 6946155227038843642
65681; 20918; 14206; 5656804799845484677
46930; 41442; 36317; 3132632996694211239
65700; 74993; 85680; 8240541400583646141
47446; 10607; 8708; 3298363330990344473
3878; 27312; 70795; 5398346481457032035
53628; 45841; 58949; 1829056593242114655
86111; 17132; 60750; 620505624891048762
78316; 87687; 20264; 6873535427030909659
74305; 73091; 50177; 6694955669025278029
28011; 23292; 28257; 2950978388684307081
44281; 16971; 70658; 2327231589165153986
84817; 37485; 59744; 6038599750670364762
38832; 8836; 18559; 7409434845291850099
14659; 1189; 31020; 1795074447757982636
55353; 3244; 5079; 6799232414664898344
28165; 88409; 27975; 5655654378335230460
5104; 75090; 36325; 3101815895665584804
2126; 88025; 84878; 3091164612424498715
46548; 65755; 1608; 562128566610726592
78294; 43369; 13403; 4488031924337034700
74024; 40173; 17515; 4396954767032779129
3064; 40960; 83027; 7665005020858966314
61766; 33576; 62972; 6460856139281298405
89108; 36743; 14091; 7468042322002137972
32923; 49217; 11332; 1013057801033605268
24779; 44913; 78091; 1993533298310934742
56101; 53665; 91405; 2414677459481507338
64793; 63554; 38448; 1109837675469686408
68252; 28200; 28748; 6884321420147119720
21848; 80701; 50866; 8376108525883734454
21847; 70959; 8791; 3914180048175321602
34427; 62382; 80284; 8528796380478069971
9961; 54501; 4052; 7575200398037919602
66499; 43217; 63707; 1333488027469669855
19210; 24997; 35192; 8118056833872722984
4076; 17628; 13154; 7934556141100208379
67905; 19027; 66916; 1834383220649852303
91748; 21263; 50145; 3661164687206982928
85787; 16003; 5675; 6842870857752354928
79363; 88958; 92042; 8238307516030803850
20326; 47184; 79779; 7577051932200323865
82822; 13520; 35354; 5088573424143075942
73891; 79030; 26654; 2871722264254729731
69010; 88898; 61984; 3415414300124709559
32500; 62790; 68504; 42945195040659077
35474; 3581; 5858; 8642936516215524716
56359; 44555; 5213; 9173686666485393670
28557; 25136; 62289; 5384499241445791097
2190; 49677; 79856; 1028069809659949520
28741; 8828; 75314; 7791974353308778457
43091; 10130; 84222; 5195931734653896378
27082; 18366; 49845; 3367959506131023159
39935; 89259; 74096; 8422966993631897707
86285; 70295; 9178; 8991364766881099649
40109; 19497; 62476; 7307388579905617865
13761; 38287; 21641; 2632348136509040723
19559; 75621; 1199; 7798572487375026427
26605; 86197; 8268; 7802527697056632988
36750; 46114; 49526; 8736164022693014669
79037; 16092; 69995; 7063615843157626697
47999; 18350; 14787; 1145243686903450988
45642; 56495; 16147; 3358490299022429427
59534; 61425; 51761; 4698116521148202184
47529; 39848; 18733; 9147719625919519267
8330; 28704; 51771; 65947693561787570
21571; 40736; 84344; 7689113836747089896
70363; 7261; 34110; 5342443810867257719
30863; 19994; 665; 2290066731789799487
1706; 67225; 56321; 5256420253223751110
60565; 69632; 1043; 6872754391068950654
55355; 43134; 64844; 8392119719974629212
13997; 10493; 59082; 104133268360849906
41809; 30384; 80257; 510979234411091311
31848; 43862; 10485; 2119943931967198412
3187; 65923; 88946; 1997442083240272283
27475; 11979; 90719; 3694311669596551335
67189; 28457; 7590; 1690898497520159828
79209; 82218; 37002; 1763597540485913621
18635; 44088; 80667; 3419442073095758286
44731; 50576; 26300; 3939451430084937394
64765; 44694; 73037; 4736382812196552679
65395; 67058; 4460; 6896785176749909940
7627; 1527; 639; 8521375426213519577
82985; 41061; 12990; 5686389478142569909
70565; 12765; 81403; 8932682585346401954
70674; 30862; 64088; 6089102912192408662
44405; 52710; 77120; 7845114129639377351
5271; 29941; 68620; 8159834107396469587
36710; 28569; 8846; 930099528576194367
37653; 29768; 79792; 3689769067958199217
11910; 35114; 29970; 8690084684822201673
28663; 7341; 43128; 4714106578078190519
68964; 44642; 29327; 610801194993199224
91670; 43205; 6620; 8532157570899102644
26162; 12852; 44573; 5912810732482126215
75104; 28328; 43611; 2129016468686269520
83338; 67202; 73145; 9220460079237951981
17535; 43960; 26675; 2971224985399651599
86107; 41074; 10130; 7871206319708968123
68380; 54216; 36557; 478237036874866357
20190; 20881; 88843; 2161577501595108274
4460; 31948; 76652; 3818144425320369010
